Identifier,Company Name,Company Type,Country,Year Founded,Company Status,Stock Exchange,Price,Market Cap (MM) (USD),Number of Employees,Gross Profit (MM) (USD),Net Income (MM) (USD),Earnings Per Share (EPS) (Basic) (USD),Earnings Per Share (EPS) (Diluted) (USD),Common Shares Outstanding (MM),Total Debt (MM) (USD),Cash & Short Term Investments (MM) (USD),Book Value Per Share (BVPS) (MM) (USD),Long Term Debt (MM) (USD),Total Assets (MM) (USD),Free Cash Flow (FCF) (MM) (USD),Capital Expenditures (MM) (USD),Dividend Yield,Price to Earnings (P/E),Return on Equity (ROE),Interest Coverage,Total Debt/EBITDA,Sales Growth
001VLJ-E,"Mercury Systems, Inc.",Public,United States,1981,Active,NASDAQ,37.22,1834.63,2596.00,263.24,-28.34,-0.50,-0.50,56.96,588.73,71.56,27.50,578.30,"2,601.98",-60.05,38.80,0.00,-,-1.83,-0.25,5.61,-1.45
0010ZC-E,"Veeco Instruments, Inc.",Public,United States,1989,Active,NASDAQ,25.32,1833.36,1221.00,253.13,166.94,3.35,2.71,51.66,311.57,302.96,11.19,288.07,"1,128.18",83.88,24.60,0.00,6.86,32.88,5.27,3.18,10.78
0TTVVK-E,"MasterBrand, Inc.",Public,United States,1954,Active,NYSE,11.78,1830.41,13000.00,918.80,155.40,1.21,1.20,128.00,"1,033.60",101.10,7.88,"1,002.20","2,529.40",-760.30,55.90,0.00,6.30,8.97,-,2.92,14.72
00D0NV-E,RLJ Lodging Trust,Public,United States,2011,Active,NYSE,10.35,1826.49,76.00,177.38,41.93,0.10,0.10,162.00,"2,334.57",536.39,12.64,"2,040.56","4,978.23",93.83,124.28,1.13,104.03,1.74,1.29,5.52,51.93
0Q0DTH-E,"Eve Holding, Inc.",Public,United States,2020,Active,NYSE,7.46,1823.56,149.00,-0.03,-174.03,-0.68,-0.68,269.09,0.00,227.93,1.07,0.00,312.88,-59.93,0.48,0.00,-,-116.95,-,-,-
0017L0-E,"The Buckle, Inc.",Public,United States,1948,Active,NYSE,36.03,1822.59,9100.00,676.00,254.63,5.17,5.13,50.09,303.79,273.07,7.51,214.60,837.58,9.15,30.39,3.23,8.45,73.89,-,0.00,3.91
00BZXH-E,"Live Oak Bancshares, Inc.",Public,United States,2008,Active,NYSE,31.83,1816.63,955.00,-,176.21,4.02,3.92,44.06,85.76,-,18.41,85.07,"9,855.50",49.77,43.75,0.40,7.70,23.09,-,-,12.59
0NZ2Q6-E,Victoria's Secret & Co.,Public,United States,1963,Active,NYSE,19.58,1815.07,31000.00,"2,272.00",348.00,4.24,4.14,80.00,"2,786.00",427.00,4.79,"2,472.00","4,711.00",273.00,164.00,0.00,9.44,108.75,8.55,1.62,-6.50
0NVSK0-E,"Clear Secure, Inc.",Public,United States,2010,Active,NYSE,18.08,1811.22,3056.00,257.59,-65.57,-0.80,-0.80,88.67,130.11,704.75,3.28,125.15,"1,039.01",98.86,31.91,0.00,-,-23.06,-,-,72.25
005S48-E,"MaxLinear, Inc.",Public,United States,2003,Active,NASDAQ,17.04,1806.57,1844.00,637.81,125.04,1.60,1.55,78.75,155.60,206.86,8.59,145.11,"1,186.16",347.47,52.44,0.00,21.95,21.46,18.97,0.47,25.53
00339Z-E,Dynavax Technologies Corp.,Public,United States,1996,Active,NASDAQ,14.22,1803.19,351.00,460.53,292.87,2.32,1.97,127.60,258.01,624.40,4.55,254.38,985.85,55.58,7.14,0.00,5.41,72.91,42.30,0.76,65.36
0G4Z2V-E,"Donnelley Financial Solutions, Inc.",Public,United States,2016,Active,NYSE,54.92,1797.39,2150.00,417.10,102.50,3.33,3.17,28.90,221.00,34.20,11.40,202.70,856.00,96.00,54.20,0.00,12.18,29.02,15.26,0.82,-16.08
000YWP-E,"John Wiley & Sons, Inc.",Public,United States,1807,Active,NYSE,30.76,1796.97,8800.00,"1,242.48",17.23,0.31,0.31,55.27,898.11,107.26,18.91,858.83,"3,108.81",118.62,106.69,3.60,126.13,1.58,0.04,1.80,-3.03
000WVM-E,Standex International Corp.,Public,United States,1955,Active,NYSE,135.45,1792.20,3800.00,285.10,139.15,11.77,11.57,11.74,207.25,195.71,51.72,199.22,"1,024.93",53.55,24.27,0.78,12.22,25.15,160.86,1.24,0.78
003K5R-E,"Verint Systems, Inc.",Public,United States,1994,Active,NASDAQ,21.08,1792.16,4300.00,581.00,14.90,-0.09,-0.09,65.40,459.93,283.10,13.08,451.96,"2,313.60",91.07,35.55,0.00,-,1.11,7.52,3.23,3.17
0D0RX2-E,Merchants Bancorp (Indiana),Public,United States,1990,Active,NASDAQ,31.20,1788.85,556.00,-,219.72,4.49,4.47,43.11,942.38,-,22.27,193.86,"12,615.23",85.79,8.82,1.15,5.44,16.80,-,-,28.25
09KLW1-E,"DHT Holdings, Inc.",Public,Bermuda,2005,Active,NYSE,11.28,1785.93,1252.00,67.82,61.52,0.37,0.37,162.65,400.63,125.95,6.57,369.83,"1,508.47",98.08,10.15,1.35,23.78,5.82,1.94,2.30,52.23
0NSHWJ-E,"MeridianLink, Inc.",Public,United States,2018,Active,NYSE,17.66,1784.57,751.00,145.61,1.29,0.02,0.02,80.64,429.41,85.78,7.18,424.69,"1,093.32",73.45,9.36,0.00,874.52,0.23,1.38,4.88,7.61
06C0XX-E,"Shutterstock, Inc.",Public,United States,2003,Active,NYSE,41.71,1783.13,1328.00,508.12,76.10,2.11,2.08,35.83,94.52,115.15,12.49,35.61,881.18,79.95,60.12,1.82,25.32,16.62,87.27,0.27,7.04
000C56-E,"The Andersons, Inc.",Public,United States,1947,Active,NASDAQ,52.77,1782.46,2283.00,670.63,119.06,3.08,3.02,33.62,937.76,115.27,35.65,529.67,"4,608.00",114.66,139.74,2.07,11.58,10.48,3.58,2.58,37.37
06351S-E,Renasant Corp.,Public,United States,1982,Active,NYSE,27.14,1779.12,2334.00,-,166.07,2.97,2.95,55.95,"1,197.73",-,38.18,478.16,"17,038.42",145.21,94.84,2.34,12.72,7.64,-,-,-0.60
07CBWV-E,Primoris Services Corp.,Public,United States,1960,Active,NYSE,30.72,1777.43,12802.00,456.89,133.02,2.50,2.47,53.12,"1,346.80",258.99,20.87,"1,196.10","3,544.02",-24.12,94.69,1.09,8.87,12.68,4.05,4.17,26.39
0VFLN9-E,Sitio Royalties Corp.,Public,United States,2016,Active,NYSE,25.33,1774.28,49.00,239.53,15.70,1.10,1.10,80.17,945.76,18.82,21.48,944.20,"5,170.90",-527.19,558.41,9.46,26.18,1.38,5.46,3.15,206.51
0CXBJZ-E,Prothena Corp. Plc,Public,Ireland,1969,Active,NASDAQ,37.55,1773.64,127.00,47.16,-116.95,-2.47,-2.47,52.10,6.47,710.41,11.94,0.00,758.04,-109.29,0.46,0.00,-,-21.50,-,-,-73.13
0042C0-E,"H&E Equipment Services, Inc.",Public,United States,1961,Active,NASDAQ,43.54,1772.92,2375.00,508.51,133.69,3.73,3.72,36.31,"1,412.49",81.33,11.05,"1,412.07","2,291.70",-222.00,515.89,2.42,12.22,37.96,3.95,2.35,17.10
000RKF-E,"Nuveen Municipal Value Fund, Inc.",Public,United States,1987,Active,NYSE,8.46,1772.41,-,51.34,54.94,0.26,0.26,207.54,21.60,12.25,8.69,21.48,"1,833.09",-,-,4.22,30.19,3.03,70.40,0.39,69.09
0G6VKS-E,"Keros Therapeutics, Inc.",Public,United States,2015,Active,NASDAQ,31.94,1771.68,105.00,-1.62,-104.68,-4.15,-4.15,27.54,13.27,279.05,10.07,12.81,306.78,-71.30,1.24,0.00,-,-40.21,"-114,790.00",-,-100.00
00316P-E,"Upbound Group, Inc.",Public,United States,1986,Active,NASDAQ,28.57,1768.38,12690.00,"1,311.32",12.36,0.23,0.21,55.67,"1,674.41",144.14,9.43,"1,561.05","2,763.62",327.89,61.39,6.03,107.59,2.38,3.45,3.13,-7.38
009HC4-E,Retail Opportunity Investments Corp.,Public,United States,2007,Active,NASDAQ,12.81,1764.03,70.00,129.73,51.49,0.42,0.42,124.54,"1,563.84",7.46,10.41,"1,312.93","3,004.28",57.44,0.00,3.73,36.10,4.00,1.88,6.82,10.15
0N9YGZ-E,"Hims & Hers Health, Inc.",Public,United States,2017,Active,NYSE,6.48,1763.79,651.00,401.25,-65.68,-0.32,-0.32,208.43,5.31,179.63,1.50,3.65,366.34,-33.78,7.25,0.00,-,-20.32,-,-,93.81
00674X-E,"Pacific Biosciences of California, Inc.",Public,United States,2000,Active,NASDAQ,7.22,1762.46,769.00,48.86,-314.25,-1.40,-1.40,226.51,948.98,772.62,2.49,938.25,"1,767.09",-279.96,16.93,0.00,-,-46.42,-20.75,-,-1.69
00DPRN-E,"Triumph Financial, Inc.",Public,United States,2010,Active,NASDAQ,67.44,1759.69,1429.00,-,102.31,4.06,3.96,24.05,213.33,-,35.09,207.48,"5,362.70",59.92,10.91,0.00,12.34,11.71,-,-,13.86
000YSP-E,"WesBanco, Inc.",Public,United States,1870,Active,NASDAQ,26.65,1756.11,2426.00,-,192.11,3.03,3.02,59.20,"1,826.47",-,38.55,986.40,"16,931.91",87.68,7.99,3.70,12.24,7.50,-,-,1.91
0844W3-E,FB Financial Corp.,Public,United States,1906,Active,NYSE,33.12,1755.22,-,-,120.22,2.57,2.57,46.85,458.61,-,31.05,458.61,"12,604.40",-,-,1.51,15.52,8.65,-,-,15.83
000P42-E,Liberty All-Star Equity Fund,Public,United States,1986,Active,NYSE,6.13,1752.05,-,110.01,-412.16,-1.61,-1.61,265.47,0.00,39.36,5.90,0.00,"1,594.22",-,-,12.11,-,-22.59,-,-,-13.37
0G1ZW9-E,"Claros Mortgage Trust, Inc.",Public,United States,2015,Active,NYSE,10.88,1739.66,-,228.30,112.06,0.80,0.80,138.38,"5,663.95",348.16,17.75,"3,958.88","8,241.51",-99.41,2.34,10.06,18.29,4.46,14.69,-,21.05
0NWZY8-E,"Payoneer Global, Inc.",Public,United States,2005,Active,NASDAQ,5.71,1736.68,2336.00,498.71,-11.97,-0.03,-0.03,352.84,31.01,546.18,1.55,22.65,"6,602.21",73.46,28.83,0.00,-,-2.32,-11.93,6.57,32.58
06KYVP-E,"Cinemark Holdings, Inc.",Public,United States,1984,Active,NYSE,16.44,1732.99,18100.00,254.60,-267.40,-2.26,-2.26,120.40,"3,777.00",674.50,0.92,"3,532.60","4,817.70",25.30,110.70,0.00,-,-123.48,0.43,8.50,62.51
0NRPPP-E,Hillman Solutions Corp.,Public,United States,1964,Active,NASDAQ,7.06,1732.69,3773.00,519.77,-16.44,-0.08,-0.08,194.55,968.85,31.08,5.95,945.99,"2,470.69",49.42,69.59,0.00,-,-1.42,0.71,5.64,4.23
07JCDG-E,"Virtus Investment Partners, Inc.",Public,United States,1995,Active,NYSE,201.03,1725.48,772.00,656.33,117.54,15.90,15.50,7.18,332.16,589.18,113.77,314.03,"3,987.35",206.68,6.58,3.29,12.35,14.29,1.69,1.14,-14.96
001RJL-E,"Sonic Automotive, Inc.",Public,United States,1997,Active,NYSE,52.96,1722.12,10300.00,"2,189.50",88.50,2.29,2.23,36.23,"3,486.80",229.20,24.71,"2,132.20","4,978.30",119.40,227.10,2.09,22.10,8.98,5.08,4.22,12.94
000D1P-E,"Brinker International, Inc.",Public,United States,1975,Active,NYSE,35.28,1719.06,64323.00,331.60,102.60,2.33,2.28,44.60,"2,160.60",15.10,-3.24,"2,038.00","2,950.80",70.80,184.90,0.00,15.88,-,3.23,2.67,8.65
001TJQ-E,"IES Holdings, Inc.",Public,United States,1997,Active,NASDAQ,61.86,1711.52,8427.00,415.13,92.58,4.58,4.54,20.19,73.99,75.77,22.28,50.20,"1,008.95",136.24,17.67,0.00,14.52,22.82,48.28,0.07,9.71
00263C-E,Acadia Realty Trust,Public,United States,1964,Active,NYSE,15.33,1711.21,115.00,88.85,-36.25,-0.38,-0.40,95.12,"1,913.77",32.22,17.79,"1,573.69","4,302.58",21.07,59.04,5.02,-,-2.26,0.55,9.95,11.69
0FFQVV-E,"National Western Life Group, Inc.",Public,United States,1956,Active,NASDAQ,478.30,1709.59,267.00,-,101.14,28.60,28.60,3.54,0.00,-,567.65,0.00,"11,636.74",355.67,1.59,0.13,9.82,4.45,-,-,-32.42
00G8MP-E,"Vista Outdoor, Inc.",Public,United States,2014,Active,NYSE,26.78,1707.31,7000.00,"1,030.90",-9.72,-0.17,-0.17,57.09,"1,169.32",86.21,19.83,"1,087.97","2,883.45",447.38,38.81,0.00,-,-0.86,7.67,1.92,1.16
0D8K8L-E,Dorian LPG Ltd.,Public,United States,2013,Active,NYSE,38.07,1702.28,593.00,228.05,172.44,4.31,4.29,40.38,815.56,148.80,21.64,739.04,"1,708.91",-71.83,68.78,0.00,4.65,19.22,5.18,2.43,42.13
0LPYJX-E,"HighPeak Energy, Inc.",Public,United States,2019,Active,NASDAQ,17.50,1700.29,47.00,468.39,213.86,2.04,1.93,113.17,704.69,30.50,10.34,704.35,"2,303.49",-818.94,"1,311.35",0.44,11.87,24.83,8.35,1.17,243.30
001VLM-E,"PC Connection, Inc.",Public,United States,1982,Active,NASDAQ,59.65,1698.72,2685.00,514.20,89.22,3.40,3.37,26.35,8.16,122.93,29.08,4.99,"1,108.61",16.86,9.08,0.00,13.90,12.32,-,0.00,8.03
006WKJ-E,InvenTrust Properties Corp.,Public,United States,2004,Active,NYSE,25.51,1696.39,106.00,67.15,52.23,0.77,0.77,67.47,787.47,137.76,23.77,773.18,"2,473.03",88.97,33.18,3.47,30.60,3.29,1.27,5.80,12.19
000XNB-E,Tennant Co.,Public,United States,1870,Active,NYSE,82.33,1695.98,4299.00,421.20,66.30,3.58,3.55,18.52,332.40,77.40,25.42,312.20,"1,085.10",-73.30,29.30,1.65,17.36,14.66,9.32,2.20,0.09
00DHLC-E,"NV5 Global, Inc.",Public,United States,2011,Active,NASDAQ,94.26,1695.62,3644.00,347.04,49.97,3.39,3.27,15.52,96.38,38.54,44.72,68.13,979.64,78.29,15.69,0.00,40.41,7.58,18.85,0.43,11.33
0G5DTN-E,Ready Capital Corp.,Public,United States,2011,Active,NYSE,10.16,1693.71,-,767.50,184.70,1.65,1.51,110.52,"9,337.74",218.97,15.20,"8,341.18","11,620.98","3,162.07",0.00,14.90,7.39,11.98,1.69,13.31,25.00
009JTN-E,"Forestar Group, Inc.",Public,United States,2007,Active,NYSE,26.46,1692.94,303.00,331.10,166.90,3.34,3.33,49.90,703.10,616.00,27.43,703.10,"2,470.70",362.80,1.30,0.00,8.09,13.00,-,3.37,-5.41
009PPJ-E,Oaktree Specialty Lending Corp.,Public,United States,2007,Active,NASDAQ,19.75,1687.49,-,269.67,117.33,1.63,1.63,77.23,"1,600.73",145.54,19.63,"1,485.31","3,217.84",-121.12,0.00,10.88,12.37,8.50,2.07,6.94,23.75
09HTB2-E,"Virtu Financial, Inc.",Public,United States,2008,Active,NASDAQ,18.04,1687.39,993.00,864.53,255.22,2.45,2.44,98.55,"2,681.97","2,225.92",13.62,"1,972.23","10,583.24",133.01,64.86,4.70,8.35,17.65,5.62,2.99,-15.06
0PWNPN-E,"Getty Images Holdings, Inc.",Public,United States,1995,Active,NYSE,4.61,1684.44,1700.00,578.04,-77.55,-0.53,-0.53,394.80,"1,485.16",102.39,1.38,"1,475.07","2,468.18",-3.09,59.29,0.00,-,-17.55,1.72,4.68,0.82
06V1X8-E,Cellebrite DI Ltd.,Public,Israel,1999,Active,NASDAQ,7.28,1683.55,1005.00,219.91,116.11,0.64,0.59,187.68,15.36,183.62,0.39,10.35,408.83,13.68,9.09,0.00,7.34,"44,830.50",2.45,0.00,9.91
0HJRW8-E,"Newmark Group, Inc.",Public,United States,1929,Active,NASDAQ,7.52,1682.04,6300.00,-,83.28,0.46,0.45,171.67,"1,418.88",313.74,6.88,627.09,"4,017.59","1,116.22",62.19,1.25,17.70,6.67,6.44,1.90,-13.25
0NG60H-E,"SEMrush Holdings, Inc.",Public,United States,2012,Active,NYSE,8.15,1680.10,1316.00,205.76,-33.85,-0.24,-0.24,141.59,12.62,237.54,1.41,8.93,305.62,-13.86,5.94,0.00,-,-15.91,-,-,35.27
0W4SP2-E,"Kodiak Gas Services, Inc.",Public,United States,2018,Active,NYSE,17.49,1678.03,720.00,266.10,106.27,1.42,1.42,75.00,"2,729.86",20.43,3.05,"2,726.77","3,687.37",-877.50,259.35,-,-,17.87,1.30,6.83,16.75
001797-E,Banner Corp.,Public,United States,1995,Active,NASDAQ,44.72,1673.44,-,-,183.62,5.35,5.33,34.35,713.80,-,48.12,713.80,"15,670.39",-,-,3.58,10.05,11.81,-,-,16.93
001D3K-E,"Myriad Genetics, Inc.",Public,United States,1991,Active,NASDAQ,17.02,1669.45,2600.00,435.30,-112.00,-1.39,-1.39,81.20,145.00,116.90,10.91,130.90,"1,317.20",-152.30,45.30,0.00,-,-12.08,-36.97,-,-1.77
005CC4-E,"Ultra Clean Holdings, Inc.",Public,United States,2002,Active,NASDAQ,25.81,1669.05,7765.00,465.00,40.40,0.89,0.88,45.20,611.20,358.80,19.64,573.30,"1,960.90",-53.60,100.10,0.00,37.50,4.65,5.83,1.93,12.98
001GNT-E,OFG Bancorp,Public,Puerto Rico,1964,Active,NYSE,31.84,1664.43,2249.00,-,166.24,3.46,3.43,47.58,54.40,-,21.91,18.47,"10,001.60",191.64,31.00,2.54,8.03,15.75,-,-,10.65
0095QL-E,"Syndax Pharmaceuticals, Inc.",Public,United States,2005,Active,NASDAQ,14.80,1663.69,107.00,-0.45,-149.34,-2.46,-2.46,68.11,1.16,475.80,6.86,0.72,497.24,-133.68,0.00,0.00,-,-34.10,-48.38,-,-100.00
003KSV-E,JetBlue Airways Corp.,Public,United States,1998,Active,NASDAQ,4.39,1663.11,-,111.00,-362.00,-1.12,-1.12,327.00,"4,383.00","1,392.00",10.90,"3,732.00","14,445.00",-841.00,"1,220.00",0.00,-,-9.77,-1.07,8.96,51.70
00DFJY-E,"Enova International, Inc.",Public,United States,2003,Active,NYSE,42.81,1663.09,1804.00,-,207.42,6.42,6.19,31.22,"2,314.54",178.40,37.99,"2,282.75","3,780.89",850.37,43.63,0.00,6.19,18.20,3.31,5.42,43.72
000XYC-E,Trustmark Corp.,Public,United States,1968,Active,NASDAQ,22.08,1662.34,2738.00,-,71.89,1.17,1.17,60.98,"1,724.32",-,24.47,"1,269.41","18,085.44",61.48,34.01,2.64,29.83,4.45,-,-,17.69
00152X-E,"Cheesecake Factory, Inc.",Public,United States,1972,Active,NASDAQ,31.09,1660.28,47500.00,307.37,43.12,0.87,0.86,51.17,"1,840.63",114.78,5.71,"1,701.53","2,775.22",7.19,113.14,2.50,37.82,13.86,16.82,2.43,12.83
05WR82-E,SFL Corp. Ltd.,Public,Bermuda,2003,Active,NYSE,11.20,1659.23,19.00,277.42,202.77,1.60,1.53,138.56,"2,674.05",211.08,7.88,"1,699.13","3,861.33",-358.95,602.50,9.54,6.02,19.56,2.24,5.93,30.58
00C3T6-E,"Apollo Commercial Real Estate Finance, Inc.",Public,United States,2009,Active,NYSE,10.73,1656.73,-,549.85,261.10,1.77,1.68,140.60,"6,970.27",222.03,16.75,"6,518.64","9,568.35",21.82,33.04,13.01,6.40,11.23,2.34,11.02,52.26
00957R-E,"PROS Holdings, Inc.",Public,United States,1985,Active,NYSE,35.25,1652.46,1528.00,166.06,-82.25,-1.82,-1.82,45.64,325.63,203.63,-0.78,317.96,452.95,-24.77,0.86,0.00,-,-,-12.14,-,9.83
0LGNNL-E,"BRP Group, Inc.",Public,United States,2011,Active,NASDAQ,22.49,1651.69,8200.00,174.92,-41.77,-0.74,-0.74,61.45,"1,426.63",230.47,9.90,"1,402.55","3,462.22",-24.44,21.98,0.00,-,-6.87,0.39,11.64,72.88
000YJQ-E,Vicor Corp.,Public,United States,1981,Active,NASDAQ,39.17,1650.44,1088.00,180.56,25.45,0.58,0.57,44.08,8.46,190.61,10.53,7.01,550.50,-41.13,63.97,0.00,94.83,5.73,-,0.00,11.05
0XJW8C-E,Mach Natural Resources LP,Public,United States,2017,Active,NYSE,18.37,1649.20,399.00,663.69,639.08,-,-,-,-,-,-,-,-,-,-,-,-,-,151.95,-,-
09LDT7-E,Sabre Corp.,Public,United States,2006,Active,NASDAQ,4.13,1646.95,7461.00,"1,351.54",-434.77,-1.40,-1.40,328.54,"4,825.80",870.23,-2.69,"4,785.16","4,962.88",-367.34,69.49,0.00,-,-,-0.68,-,50.22
0076DF-E,"RxSight, Inc.",Public,United States,1997,Active,NASDAQ,24.17,1642.82,292.00,21.33,-66.76,-2.41,-2.41,28.27,45.00,105.80,3.18,43.03,150.16,-61.39,2.39,0.00,-,-58.52,-12.80,-,116.90
00DR0F-E,"Empire State Realty Trust, Inc.",Public,United States,2011,Active,NYSE,9.01,1634.55,667.00,188.79,40.64,0.22,0.22,161.13,"2,274.81",314.68,5.92,"2,266.18","4,163.59",57.60,126.27,2.08,30.71,4.16,1.35,5.99,16.50
0PDZTQ-E,"Arhaus, Inc.",Public,United States,1986,Active,NASDAQ,8.61,1634.05,2120.00,525.06,136.63,0.99,0.98,138.55,381.98,152.53,1.51,341.71,931.79,21.80,52.66,0.00,9.96,97.78,54.52,0.22,54.21
0CWVJ5-E,"Goldman Sachs BDC, Inc.",Public,United States,2012,Active,NYSE,14.58,1633.60,-,302.48,55.00,0.54,0.54,102.85,"2,012.66",39.60,14.61,"2,012.66","3,591.31",-10.81,0.00,13.12,25.51,3.53,1.73,14.61,-12.36
0HKMJ5-E,"Kymera Therapeutics, Inc.",Public,United States,2015,Active,NASDAQ,14.27,1632.12,167.00,43.85,-154.81,-2.87,-2.87,55.04,17.34,407.17,8.91,13.39,603.13,-155.92,2.84,0.00,-,-32.60,-916.23,-,-35.71
00F7BS-E,"Compass, Inc. (New York)",Public,United States,2012,Active,NYSE,2.19,1631.45,3191.00,614.40,-601.50,-1.40,-1.40,438.10,763.00,361.90,1.18,486.50,"1,533.10",-362.40,70.10,0.00,-,-88.40,-144.06,-,-6.28
07HRY8-E,"Cracker Barrel Old Country Store, Inc.",Public,United States,1969,Active,NASDAQ,68.69,1630.83,77000.00,308.71,99.05,4.47,4.45,22.15,"1,163.73",25.15,21.84,"1,117.32","2,479.50",7.40,126.99,5.55,21.07,19.90,7.92,1.39,5.36
0MJFM3-E,"Rocket Cos., Inc.",Public,United States,1985,Active,NYSE,8.63,1630.11,-,"3,755.18",46.44,0.39,0.28,123.49,"10,348.18",789.10,4.67,"8,595.65","20,082.21","10,730.37",93.12,0.00,25.09,7.48,3.32,8.59,-61.51
00CZPV-E,"Customers Bancorp, Inc.",Public,United States,1997,Active,NYSE,44.69,1626.61,-,-,228.03,6.69,6.51,32.37,"1,124.58",-,39.08,819.23,"20,896.11",272.71,4.05,0.00,4.35,16.47,-,-,6.27
002M71-E,"Plug Power, Inc.",Public,United States,1997,Active,NASDAQ,6.62,1622.75,3353.00,-194.36,-724.01,-1.25,-1.25,590.35,898.73,"2,158.41",6.88,777.65,"5,764.28","-1,084.71",463.87,0.00,-,-16.71,-12.62,-,39.63
000C7T-E,Enerpac Tool Group Corp.,Public,United States,1910,Active,NYSE,28.06,1620.63,2100.00,289.93,53.65,0.82,0.82,54.99,253.12,154.42,5.94,239.58,762.60,63.44,9.40,0.15,32.14,16.63,6.85,2.12,4.72
000YR8-E,"Weis Markets, Inc.",Public,United States,1912,Active,NYSE,67.23,1617.13,23000.00,"1,207.31",125.20,4.65,4.65,26.90,185.95,367.11,48.40,142.42,"1,990.33",60.89,122.99,1.58,17.68,9.93,-,0.00,11.16
000NYV-E,Lakeland Financial Corp. (Indiana),Public,United States,1983,Active,NASDAQ,53.29,1616.95,652.00,-,103.82,4.07,4.04,25.35,302.30,-,22.44,4.57,"6,432.37",115.88,15.63,2.19,18.07,16.30,-,-,19.45
000DXK-E,"Cohu, Inc.",Public,United States,1947,Active,NASDAQ,31.33,1616.12,3218.00,349.69,96.85,2.01,1.98,49.28,103.16,385.58,18.85,91.87,"1,227.41",98.09,14.77,0.00,16.15,10.69,30.48,0.45,-8.39
0Q4TRP-E,"Excelerate Energy, Inc.",Public,United States,2021,Active,NYSE,15.37,1614.49,890.00,259.68,12.98,0.51,0.51,26.25,715.89,519.27,18.18,632.90,"2,866.82",104.51,119.27,0.20,49.38,1.63,3.28,1.96,178.31
000PHD-E,Marten Transport Ltd.,Public,United States,1946,Active,NASDAQ,18.36,1613.98,4575.00,177.22,110.35,1.35,1.35,81.12,0.71,80.60,8.68,0.41,980.52,23.30,176.62,1.21,14.69,16.28,-,0.00,29.81
00B9QB-E,"Tandem Diabetes Care, Inc.",Public,United States,2006,Active,NASDAQ,15.75,1613.94,2600.00,400.66,-94.59,-1.47,-1.47,64.51,419.88,616.90,6.82,406.76,"1,052.79",16.37,34.10,0.00,-,-21.67,-9.96,-,14.00
001DCG-E,Enterprise Financial Services Corp.,Public,United States,1988,Active,NASDAQ,37.27,1611.32,-,-,203.04,5.32,5.31,37.25,597.59,-,38.93,168.12,"13,080.86",171.52,1.93,1.84,9.23,13.31,-,-,27.33
0NWRG8-E,Enovix Corp.,Public,United States,2006,Active,NASDAQ,10.59,1610.63,335.00,-17.04,-51.62,-0.34,-0.82,157.46,8.23,322.98,2.26,8.23,442.30,-118.95,36.21,0.00,-,-15.13,-,-,-
000WYS-E,Stewart Information Services Corp.,Public,United States,1893,Active,NYSE,46.97,1610.54,7100.00,-,162.31,6.00,5.94,27.13,595.01,-,50.21,547.45,"2,737.88",99.24,47.95,3.86,7.20,12.28,-,-,-7.15
0W9ZPF-E,Madison Square Garden Entertainment Corp.,Public,United States,1879,Active,NYSE,31.47,1606.04,5820.00,291.10,76.60,1.50,1.50,51.05,902.92,84.36,-1.36,850.14,"1,451.17",120.51,15.19,0.00,22.41,-,2.14,3.51,30.30
0SJ9FM-E,NewAmsterdam Pharma Co. NV,Public,Netherlands,2022,Active,NASDAQ,10.32,1605.32,17.00,102.39,-82.03,-1.01,-1.01,81.56,0.13,468.01,6.34,0.06,567.33,8.36,0.01,0.00,-,-28.60,-17.65,-,-
000D25-E,Vector Group Ltd.,Public,United States,1980,Active,NYSE,10.55,1604.55,509.00,442.35,153.75,1.01,1.01,154.84,"1,421.35",341.02,-5.22,"1,395.73",948.18,48.04,9.96,6.75,11.79,-,3.14,3.95,18.05
0GSMKG-E,JBG SMITH Properties,Public,United States,2016,Active,NYSE,14.14,1599.15,912.00,179.88,83.51,0.70,0.70,114.01,"2,452.48",274.07,23.52,"2,170.51","5,903.44",-196.68,326.74,4.74,27.05,2.98,0.28,10.18,-4.50
0JL7JK-E,"Inhibrx, Inc.",Public,United States,2010,Active,NASDAQ,18.22,1596.53,141.00,-0.67,-145.23,-3.62,-3.62,43.56,207.10,273.87,1.33,205.24,290.88,-115.99,0.69,0.00,-,-263.00,-8.02,-,-69.43
0673B5-E,HollySys Automation Technologies Ltd.,Public,China,1993,Active,NASDAQ,20.60,1594.00,-,255.49,106.93,1.74,1.72,62.02,35.00,667.84,18.95,17.88,"1,684.85",-17.74,40.92,0.00,10.23,9.14,73.42,0.43,6.51
001J7Q-E,Taro Pharmaceutical Industries Ltd.,Public,Israel,1950,Active,NYSE,35.00,1591.33,1554.00,268.32,25.45,0.68,0.68,37.58,1.95,850.29,46.05,0.00,"2,135.51",6.00,19.85,0.00,35.92,1.48,0.86,0.00,2.07
006LDN-E,"AtriCure, Inc.",Public,United States,1994,Active,NASDAQ,36.98,1588.68,1050.00,245.94,-46.47,-1.02,-1.02,46.56,71.22,121.11,9.81,69.08,585.45,-39.02,16.88,0.00,-,-9.88,-8.56,-,20.43
0014KM-E,"Heartland Financial USA, Inc.",Public,United States,1981,Active,NASDAQ,29.70,1587.86,2002.00,-,212.18,4.80,4.79,42.47,779.55,-,38.25,397.23,"20,244.23",294.99,15.09,2.34,9.74,10.83,-,-,12.41
